Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python3.7, 2to3, -1,763.619873046875000000, 731.697814941406250000,  ,  , 34875, 56.8, 44928
Python3.7, 2to3, -1,764.312072753906250000, 732.258911132812500000,  ,  , 34907, 56.5, 44772
Python3.7, 2to3, -1,768.748046875000000000, 736.732116699218750000,  ,  , 34886, 59.0, 45068
Python3.7, 2to3, -1,768.941833496093750000, 736.763671875000000000,  ,  , 34904, 58.8, 44804
Python3.7, 2to3, -1,767.111694335937500000, 734.961486816406250000,  ,  , 34868, 56.2, 44932
Python3.7, 2to3, -1,768.076232910156250000, 736.051757812500000000,  ,  , 34869, 56.5, 44932
Python3.7, 2to3, -1,769.243164062500000000, 737.154479980468750000,  ,  , 34916, 57.2, 44928
Python3.7, 2to3, -1,764.814636230468750000, 732.816955566406250000,  ,  , 34891, 54.2, 44932
Python3.7, 2to3, -1,768.683471679687500000, 736.450012207031250000,  ,  , 34926, 59.0, 44928
Python3.7, 2to3, -1,767.565124511718750000, 735.322998046875000000,  ,  , 34904, 55.5, 44804
Python3.7, chaos, -1,319.491149902343750000, 306.766113281250000000,  ,  , 14322, 58.0, 44932
Python3.7, chaos, -1,320.332702636718750000, 307.372619628906250000,  ,  , 14381, 60.2, 44932
Python3.7, chaos, -1,320.496643066406250000, 307.551086425781250000,  ,  , 14339, 53.5, 44932
Python3.7, chaos, -1,320.138488769531250000, 307.193603515625000000,  ,  , 14371, 58.5, 44928
Python3.7, chaos, -1,319.769226074218750000, 306.872924804687500000,  ,  , 14356, 60.2, 44928
Python3.7, chaos, -1,318.953491210937500000, 306.085021972656250000,  ,  , 14339, 53.5, 45056
Python3.7, chaos, -1,321.218505859375000000, 308.323913574218750000,  ,  , 14366, 54.2, 45056
Python3.7, chaos, -1,319.607910156250000000, 306.720092773437500000,  ,  , 14329, 58.5, 44924
Python3.7, chaos, -1,323.061706542968750000, 310.190002441406250000,  ,  , 14358, 58.5, 44936
Python3.7, chaos, -1,319.669494628906250000, 306.773742675781250000,  ,  , 14337, 58.5, 44928
Python3.7, comprehensions, -1,324.994262695312500000, 312.015441894531250000,  ,  , 14397, 54.5, 44936
Python3.7, comprehensions, -1,327.922424316406250000, 314.983154296875000000,  ,  , 14403, 59.8, 44932
Python3.7, comprehensions, -1,328.571655273437500000, 315.610412597656250000,  ,  , 14422, 55.5, 44932
Python3.7, comprehensions, -1,326.272216796875000000, 313.294494628906250000,  ,  , 14396, 60.8, 44680
Python3.7, comprehensions, -1,328.394409179687500000, 315.477600097656250000,  ,  , 14397, 58.5, 44932
Python3.7, comprehensions, -1,325.291259765625000000, 312.360961914062500000,  ,  , 14410, 53.8, 44676
Python3.7, comprehensions, -1,328.201416015625000000, 315.288574218750000000,  ,  , 14403, 58.5, 45060
Python3.7, comprehensions, -1,325.890686035156250000, 312.955627441406250000,  ,  , 14426, 60.2, 44936
Python3.7, comprehensions, -1,321.635375976562500000, 308.741638183593750000,  ,  , 14390, 54.5, 44928
Python3.7, comprehensions, -1,324.434265136718750000, 311.455078125000000000,  ,  , 14433, 53.5, 45056
Python3.7, concurrent_imap, -1,133.885070800781250000, 118.381225585937500000,  ,  , 21553, 45.0, 44932
Python3.7, concurrent_imap, -1,131.360046386718750000, 116.504760742187500000,  ,  , 21552, 42.5, 44928
Python3.7, concurrent_imap, -1,133.537048339843750000, 118.517639160156250000,  ,  , 21566, 42.8, 44932
Python3.7, concurrent_imap, -1,132.630004882812500000, 117.692993164062500000,  ,  , 21559, 43.0, 45060
Python3.7, concurrent_imap, -1,130.521789550781250000, 115.909973144531250000,  ,  , 21566, 42.5, 44936
Python3.7, concurrent_imap, -1,132.136718750000000000, 117.277587890625000000,  ,  , 21555, 41.5, 44804
Python3.7, concurrent_imap, -1,131.926940917968750000, 117.080505371093750000,  ,  , 21554, 41.8, 44932
Python3.7, concurrent_imap, -1,130.704467773437500000, 116.107421875000000000,  ,  , 21560, 42.0, 44932
Python3.7, concurrent_imap, -1,132.147033691406250000, 117.319152832031250000,  ,  , 21563, 41.2, 44928
Python3.7, concurrent_imap, -1,132.288879394531250000, 117.471374511718750000,  ,  , 21562, 41.2, 44944
Python3.7, coroutines, -1,408.224060058593750000, 391.994140625000000000,  ,  , 18267, 60.0, 44928
Python3.7, coroutines, -1,409.854797363281250000, 393.515441894531250000,  ,  , 18264, 53.2, 44800
Python3.7, coroutines, -1,409.815917968750000000, 393.367919921875000000,  ,  , 18299, 54.0, 44932
Python3.7, coroutines, -1,408.952392578125000000, 392.427124023437500000,  ,  , 18260, 54.0, 44804
Python3.7, coroutines, -1,408.377990722656250000, 392.051330566406250000,  ,  , 18305, 53.2, 45060
Python3.7, coroutines, -1,409.945739746093750000, 393.770446777343750000,  ,  , 18267, 60.2, 44928
Python3.7, coroutines, -1,409.295715332031250000, 392.900756835937500000,  ,  , 18325, 53.2, 45064
Python3.7, coroutines, -1,406.322326660156250000, 390.021789550781250000,  ,  , 18256, 60.5, 44944
Python3.7, coroutines, -1,411.199890136718750000, 394.885559082031250000,  ,  , 18284, 55.0, 44936
Python3.7, coroutines, -1,405.064758300781250000, 388.809082031250000000,  ,  , 18230, 53.5, 44928
Python3.7, deepcopy, -1,989.425598144531250000, 950.390075683593750000,  ,  , 43299, 60.0, 44808
Python3.7, deepcopy, -1,980.543518066406250000, 941.387390136718750000,  ,  , 43363, 57.0, 44928
Python3.7, deepcopy, -1,982.326416015625000000, 943.052368164062500000,  ,  , 43361, 55.8, 44936
