Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, avrora,-1,139.150146484375000000, 127.170471191406250000,  ,  ,3542, 66.4,135948
Java, avrora,-1,137.873107910156250000, 125.892639160156250000,  ,  ,3543, 66.4,140928
Java, avrora,-1,138.514160156250000000, 126.532165527343750000,  ,  ,3542, 66.8,136984
Java, avrora,-1,137.534118652343750000, 125.482116699218750000,  ,  ,3562, 67.1,139404
Java, avrora,-1,136.210388183593750000, 124.146545410156250000,  ,  ,3566, 67.2,140640
Java, avrora,-1,141.937683105468750000, 130.014038085937500000,  ,  ,3512, 67.9,135076
Java, avrora,-1,141.503723144531250000, 129.481872558593750000,  ,  ,3542, 67.9,135928
Java, avrora,-1,138.145751953125000000, 126.131530761718750000,  ,  ,3539, 67.6,139016
Java, avrora,-1,132.047119140625000000, 119.829589843750000000,  ,  ,3601, 68.4,139184
Java, avrora,-1,144.330627441406250000, 132.284362792968750000,  ,  ,3541, 68.2,136988
Java, avrora,5,137.959594726562500000, 58.004455566406250000,  ,  ,23902, 61.6,143300
Java, avrora,5,136.990966796875000000, 57.403869628906250000,  ,  ,23844, 61.1,143136
Java, avrora,5,140.796508789062500000, 58.410888671875000000,  ,  ,24477, 60.6,136036
Java, avrora,5,130.440856933593750000, 53.681457519531250000,  ,  ,23331, 60.4,141336
Java, avrora,5,136.982360839843750000, 55.257446289062500000,  ,  ,24888, 60.1,138888
Java, avrora,5,134.035217285156250000, 54.282775878906250000,  ,  ,24272, 59.6,141276
Java, avrora,5,151.434997558593750000, 64.753601074218750000,  ,  ,22761, 60.5,136416
Java, avrora,5,155.758117675781250000, 64.240051269531250000,  ,  ,22856, 60.4,137284
Java, avrora,5,152.062072753906250000, 62.152709960937500000,  ,  ,22533, 59.8,132032
Java, avrora,5,129.667419433593750000, 53.557861328125000000,  ,  ,23166, 59.5,141852
Java, avrora,10,64.757446289062500000, 43.274902343750000000,  ,  ,6500, 60.6,141960
Java, avrora,10,64.538635253906250000, 43.075378417968750000,  ,  ,6499, 60.9,134564
Java, avrora,10,63.922607421875000000, 42.643676757812500000,  ,  ,6435, 61.0,132940
Java, avrora,10,64.187438964843750000, 42.836914062500000000,  ,  ,6458, 60.9,133952
Java, avrora,10,64.639648437500000000, 43.170654296875000000,  ,  ,6488, 61.2,138888
Java, avrora,10,64.915954589843750000, 43.343872070312500000,  ,  ,6516, 61.4,135908
Java, avrora,10,65.129943847656250000, 43.316955566406250000,  ,  ,6591, 61.5,134328
Java, avrora,10,64.197265625000000000, 42.813476562500000000,  ,  ,6467, 61.5,135328
Java, avrora,10,64.588317871093750000, 42.988525390625000000,  ,  ,6524, 61.5,136288
Java, avrora,10,64.553161621093750000, 43.032409667968750000,  ,  ,6513, 61.5,141504
Java, avrora,22,94.747741699218750000, 80.236877441406250000,  ,  ,4328, 65.0,145348
Java, avrora,22,96.213867187500000000, 81.443115234375000000,  ,  ,4399, 64.5,143384
Java, avrora,22,94.032836914062500000, 79.610595703125000000,  ,  ,4294, 65.0,139280
Java, avrora,22,95.801452636718750000, 81.123962402343750000,  ,  ,4371, 64.8,139484
